source_division_code,source_district_code,source_upazila_code,source_division_name_en,source_district_name_en,source_upazila_name_en,source_division_name_bn,source_district_name_bn,source_upazila_name_bn,failure_reason,candidate_1_target_division_code,candidate_1_target_district_code,candidate_1_target_upazila_code,candidate_1_target_division_name_en,candidate_1_target_district_name_en,candidate_1_target_upazila_name_en,candidate_1_target_division_name_bn,candidate_1_target_district_name_bn,candidate_1_target_upazila_name_bn,candidate_1_reason,candidate_2_target_division_code,candidate_2_target_district_code,candidate_2_target_upazila_code,candidate_2_target_division_name_en,candidate_2_target_district_name_en,candidate_2_target_upazila_name_en,candidate_2_target_division_name_bn,candidate_2_target_district_name_bn,candidate_2_target_upazila_name_bn,candidate_2_reason,candidate_3_target_division_code,candidate_3_target_district_code,candidate_3_target_upazila_code,candidate_3_target_division_name_en,candidate_3_target_district_name_en,candidate_3_target_upazila_name_en,candidate_3_target_division_name_bn,candidate_3_target_district_name_bn,candidate_3_target_upazila_name_bn,candidate_3_reason,manual_target_division_code,manual_target_district_code,manual_target_upazila_code,selected_candidate,review_status,reviewed_by,notes
1,9,80,Chattagram,Coxsbazar,Coxsbazar Sadar,চট্টগ্রাম,কক্সবাজার,কক্সবাজার সদর,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10. | nuhil_missing_division; nuhil division id 1 missing; 10 unions. | nuhil_missing_division; nuhil division id 1 missing; 10 unions.
1,9,81,Chattagram,Coxsbazar,Chakaria,চট্টগ্রাম,কক্সবাজার,চকরিয়া,nuhil_district_name_no_match,20,2022,20220016,Chattogram,Cox's Bazar,Chakaria,চট্টগ্রাম বিভাগ,,,Within mapped HDX division (Chattagram); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 16. | nuhil_missing_division; nuhil division id 1 missing; 16 unions. | nuhil_missing_division; nuhil division id 1 missing; 16 unions.
1,9,82,Chattagram,Coxsbazar,Kutubdia,চট্টগ্রাম,কক্সবাজার,কুতুবদিয়া,nuhil_district_name_no_match,20,2022,20220045,Chattogram,Cox's Bazar,Kutubdia,চট্টগ্রাম বিভাগ,,,Within mapped HDX division (Chattagram); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_missing_division; nuhil division id 1 missing; 6 unions. | nuhil_missing_division; nuhil division id 1 missing; 6 unions.
1,9,83,Chattagram,Coxsbazar,Ukhiya,চট্টগ্রাম,কক্সবাজার,উখিয়া,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 5. | nuhil_missing_division; nuhil division id 1 missing; 5 unions. | nuhil_missing_division; nuhil division id 1 missing; 5 unions.
1,9,84,Chattagram,Coxsbazar,Moheshkhali,চট্টগ্রাম,কক্সবাজার,মহেশখালী,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8. | nuhil_missing_division; nuhil division id 1 missing; 8 unions. | nuhil_missing_division; nuhil division id 1 missing; 8 unions.
1,9,85,Chattagram,Coxsbazar,Pekua,চট্টগ্রাম,কক্সবাজার,পেকুয়া,nuhil_district_name_no_match,20,2022,20220056,Chattogram,Cox's Bazar,Pekua,চট্টগ্রাম বিভাগ,,,Within mapped HDX division (Chattagram); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7. | nuhil_missing_division; nuhil division id 1 missing; 7 unions. | nuhil_missing_division; nuhil division id 1 missing; 7 unions.
1,9,86,Chattagram,Coxsbazar,Ramu,চট্টগ্রাম,কক্সবাজার,রামু,nuhil_district_name_no_match,20,2022,20220066,Chattogram,Cox's Bazar,Ramu,চট্টগ্রাম বিভাগ,,,Within mapped HDX division (Chattagram); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 11. | nuhil_missing_division; nuhil division id 1 missing; 11 unions. | nuhil_missing_division; nuhil division id 1 missing; 11 unions.
1,9,87,Chattagram,Coxsbazar,Teknaf,চট্টগ্রাম,কক্সবাজার,টেকনাফ,nuhil_district_name_no_match,20,2022,20220090,Chattogram,Cox's Bazar,Teknaf,চট্টগ্রাম বিভাগ,,,Within mapped HDX division (Chattagram); Exact normalized English (or cross-field) upazila name match,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6. | nuhil_missing_division; nuhil division id 1 missing; 6 unions. | nuhil_missing_division; nuhil division id 1 missing; 6 unions.
2,18,155,Rajshahi,Chapainawabganj,Chapainawabganj Sadar,রাজশাহী,চাঁপাইনবাবগঞ্জ,চাঁপাইনবাবগঞ্জ সদর,nuhil_district_name_no_match,50,5070,50700066,Rajshahi,Chapainababganj,Chapainawabganj Sadar,রাজশাহী বিভাগ,,,Within mapped HDX division (Rajshahi); Exact normalized English (or cross-field) upazila name match,30,3026,30260062,Dhaka,Dhaka,Nawabganj,ঢাকা বিভাগ,,,Different HDX division than nuhil-mapped 50; Upazila name similarity only (weak — verify district),,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14.
2,18,156,Rajshahi,Chapainawabganj,Gomostapur,রাজশাহী,চাঁপাইনবাবগঞ্জ,গোমস্তাপুর,nuhil_district_name_no_match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8.
