source_division_code,source_district_code,source_upazila_code,source_division_name_en,source_district_name_en,source_upazila_name_en,source_division_name_bn,source_district_name_bn,source_upazila_name_bn,target_division_code,target_district_code,target_upazila_code,target_division_name_en,target_district_name_en,target_upazila_name_en,match_confidence,match_method,review_status,notes
1,9,80,Chattagram,Coxsbazar,Coxsbazar Sadar,চট্টগ্রাম,কক্সবাজার,কক্সবাজার সদর,20,,,Chattogram,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10.
1,9,81,Chattagram,Coxsbazar,Chakaria,চট্টগ্রাম,কক্সবাজার,চকরিয়া,20,,,Chattogram,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 16.
1,9,82,Chattagram,Coxsbazar,Kutubdia,চট্টগ্রাম,কক্সবাজার,কুতুবদিয়া,20,,,Chattogram,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6.
1,9,83,Chattagram,Coxsbazar,Ukhiya,চট্টগ্রাম,কক্সবাজার,উখিয়া,20,,,Chattogram,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 5.
1,9,84,Chattagram,Coxsbazar,Moheshkhali,চট্টগ্রাম,কক্সবাজার,মহেশখালী,20,,,Chattogram,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8.
1,9,85,Chattagram,Coxsbazar,Pekua,চট্টগ্রাম,কক্সবাজার,পেকুয়া,20,,,Chattogram,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 7.
1,9,86,Chattagram,Coxsbazar,Ramu,চট্টগ্রাম,কক্সবাজার,রামু,20,,,Chattogram,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 11.
1,9,87,Chattagram,Coxsbazar,Teknaf,চট্টগ্রাম,কক্সবাজার,টেকনাফ,20,,,Chattogram,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6.
2,18,155,Rajshahi,Chapainawabganj,Chapainawabganj Sadar,রাজশাহী,চাঁপাইনবাবগঞ্জ,চাঁপাইনবাবগঞ্জ সদর,50,,,Rajshahi,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 14.
2,18,156,Rajshahi,Chapainawabganj,Gomostapur,রাজশাহী,চাঁপাইনবাবগঞ্জ,গোমস্তাপুর,50,,,Rajshahi,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 8.
2,18,157,Rajshahi,Chapainawabganj,Nachol,রাজশাহী,চাঁপাইনবাবগঞ্জ,নাচোল,50,,,Rajshahi,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4.
2,18,158,Rajshahi,Chapainawabganj,Bholahat,রাজশাহী,চাঁপাইনবাবগঞ্জ,ভোলাহাট,50,,,Rajshahi,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 4.
2,18,159,Rajshahi,Chapainawabganj,Shibganj,রাজশাহী,চাঁপাইনবাবগঞ্জ,শিবগঞ্জ,50,,,Rajshahi,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15.
4,30,230,Barisal,Jhalakathi,Jhalakathi Sadar,বরিশাল,ঝালকাঠি,ঝালকাঠি সদর,10,,,Barishal,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10.
4,30,231,Barisal,Jhalakathi,Kathalia,বরিশাল,ঝালকাঠি,কাঠালিয়া,10,,,Barishal,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6.
4,30,232,Barisal,Jhalakathi,Nalchity,বরিশাল,ঝালকাঠি,নলছিটি,10,,,Barishal,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 10.
4,30,233,Barisal,Jhalakathi,Rajapur,বরিশাল,ঝালকাঠি,রাজাপুর,10,,,Barishal,,,LOW,NONE,PENDING,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 6.
