review_id,affected_union_count,failure_reason,source_division_code,source_district_code,source_upazila_code,source_division_name_en,source_district_name_en,source_upazila_name_en,source_division_name_bn,source_district_name_bn,source_upazila_name_bn,candidate_1_summary,candidate_2_summary,candidate_3_summary,selected_candidate,manual_target_division_code,manual_target_district_code,manual_target_upazila_code,review_status,reviewed_by,notes
R-4-34-261,20,nuhil_upazila_name_no_match,4,34,261,Barisal,Bhola,Charfesson,বরিশাল,ভোলা,চরফ্যাশন,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Charfesson"" / ""চরফ্যাশন"": 0 HDX matches in district 1009. Unions: 20. | nuhil_upazila_name_no_match; Upazila ""Charfesson"" / ""চরফ্যাশন"": 0 HDX matches in district 1009. Unions: 20. | nuhil_upazila_name_no_match; Upazila ""Charfesson"" / ""চরফ্যাশন"": 0 HDX matches in district 1009. Unions: 20. | nuhil_upazila_name_no_match; Upazila ""Charfesson"" / ""চরফ্যাশন"": 0 HDX matches in district 1009. Unions: 20. | nuhil_upazila_name_no_match; Upazila ""Charfesson"" / ""চরফ্যাশন"": 0 HDX matches in district 1009. Unions: 20. | nuhil_upazila_name_no_match; Upazila ""Charfesson"" / ""চরফ্যাশন"": 0 HDX matches in district 1009. Unions: 20. | nuhil_upazila_name_no_match; Upazila ""Charfesson"" / ""চরফ্যাশন"": 0 HDX matches in district 1009. Unions: 20."
R-1-8-67,16,nuhil_upazila_name_no_match,1,8,67,Chattagram,Chattogram,Mirsharai,চট্টগ্রাম,চট্টগ্রাম,মীরসরাই,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Mirsharai"" / ""মীরসরাই"": 0 HDX matches in district 2015. Unions: 16. | nuhil_missing_division; nuhil division id 1 missing; 16 unions. | nuhil_missing_division; nuhil division id 1 missing; 16 unions. | nuhil_missing_division; nuhil division id 1 missing; 16 unions. | nuhil_missing_division; nuhil division id 1 missing; 16 unions. | nuhil_missing_division; nuhil division id 1 missing; 16 unions. | nuhil_missing_division; nuhil division id 1 missing; 16 unions."
R-1-9-81,16,nuhil_district_name_no_match,1,9,81,Chattagram,Coxsbazar,Chakaria,চট্টগ্রাম,কক্সবাজার,চকরিয়া,codes 20/2022/20220016 | EN: Chattogram / Cox's Bazar / Chakaria | BN: চট্টগ্রাম বিভাগ | reason: Within mapped HDX division (Chattagram); Exact normalized English (or cross-field) upazila name match,(no candidate),(no candidate),,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 16. | nuhil_missing_division; nuhil division id 1 missing; 16 unions. | nuhil_missing_division; nuhil division id 1 missing; 16 unions. | nuhil_missing_division; nuhil division id 1 missing; 16 unions. | nuhil_missing_division; nuhil division id 1 missing; 16 unions. | nuhil_missing_division; nuhil division id 1 missing; 16 unions. | nuhil_missing_division; nuhil division id 1 missing; 16 unions.
R-3-28-220,16,nuhil_upazila_name_no_match,3,28,220,Khulna,Bagerhat,Morrelganj,খুলনা,বাগেরহাট,মোড়েলগঞ্জ,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Morrelganj"" / ""মোড়েলগঞ্জ"": 0 HDX matches in district 4001. Unions: 16. | nuhil_upazila_name_no_match; Upazila ""Morrelganj"" / ""মোড়েলগঞ্জ"": 0 HDX matches in district 4001. Unions: 16. | nuhil_upazila_name_no_match; Upazila ""Morrelganj"" / ""মোড়েলগঞ্জ"": 0 HDX matches in district 4001. Unions: 16. | nuhil_upazila_name_no_match; Upazila ""Morrelganj"" / ""মোড়েলগঞ্জ"": 0 HDX matches in district 4001. Unions: 16. | nuhil_upazila_name_no_match; Upazila ""Morrelganj"" / ""মোড়েলগঞ্জ"": 0 HDX matches in district 4001. Unions: 16. | nuhil_upazila_name_no_match; Upazila ""Morrelganj"" / ""মোড়েলগঞ্জ"": 0 HDX matches in district 4001. Unions: 16. | nuhil_upazila_name_no_match; Upazila ""Morrelganj"" / ""মোড়েলগঞ্জ"": 0 HDX matches in district 4001. Unions: 16."
R-1-6-59,15,nuhil_upazila_name_no_match,1,6,59,Chattagram,Chandpur,Faridgonj,চট্টগ্রাম,চাঁদপুর,ফরিদগঞ্জ,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Faridgonj"" / ""ফরিদগঞ্জ"": 0 HDX matches in district 2013. Unions: 15. | nuhil_missing_division; nuhil division id 1 missing; 15 unions. | nuhil_missing_division; nuhil division id 1 missing; 15 unions. | nuhil_missing_division; nuhil division id 1 missing; 15 unions. | nuhil_missing_division; nuhil division id 1 missing; 15 unions. | nuhil_missing_division; nuhil division id 1 missing; 15 unions. | nuhil_missing_division; nuhil division id 1 missing; 15 unions."
R-2-18-159,15,nuhil_district_name_no_match,2,18,159,Rajshahi,Chapainawabganj,Shibganj,রাজশাহী,চাঁপাইনবাবগঞ্জ,শিবগঞ্জ,codes 50/5010/50100094 | EN: Rajshahi / Bogura / Shibganj | BN: রাজশাহী বিভাগ | reason: Within mapped HDX division (Rajshahi); Exact normalized English (or cross-field) upazila name match,codes 50/5070/50700088 | EN: Rajshahi / Chapainababganj / Shibganj | BN: রাজশাহী বিভাগ | reason: Within mapped HDX division (Rajshahi); Exact normalized English (or cross-field) upazila name match,(no candidate),,,,,PENDING,,nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15. | nuhil_district_name_no_match; District match ambiguous (0 candidates) or zero. Unions: 15.
R-3-20-177,15,nuhil_upazila_name_no_match,3,20,177,Khulna,Jashore,Jessore Sadar,খুলনা,যশোর,যশোর সদর,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Jessore Sadar"" / ""যশোর সদর"": 0 HDX matches in district 4041. Unions: 15. | nuhil_upazila_name_no_match; Upazila ""Jessore Sadar"" / ""যশোর সদর"": 0 HDX matches in district 4041. Unions: 15. | nuhil_upazila_name_no_match; Upazila ""Jessore Sadar"" / ""যশোর সদর"": 0 HDX matches in district 4041. Unions: 15. | nuhil_upazila_name_no_match; Upazila ""Jessore Sadar"" / ""যশোর সদর"": 0 HDX matches in district 4041. Unions: 15. | nuhil_upazila_name_no_match; Upazila ""Jessore Sadar"" / ""যশোর সদর"": 0 HDX matches in district 4041. Unions: 15. | nuhil_upazila_name_no_match; Upazila ""Jessore Sadar"" / ""যশোর সদর"": 0 HDX matches in district 4041. Unions: 15. | nuhil_upazila_name_no_match; Upazila ""Jessore Sadar"" / ""যশোর সদর"": 0 HDX matches in district 4041. Unions: 15."
R-7-59-445,15,nuhil_upazila_name_no_match,7,59,445,Rangpur,Rangpur,Pirgonj,রংপুর,রংপুর,পীরগঞ্জ,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Pirgonj"" / ""পীরগঞ্জ"": 0 HDX matches in district 5585. Unions: 15. | nuhil_upazila_name_no_match; Upazila ""Pirgonj"" / ""পীরগঞ্জ"": 0 HDX matches in district 5585. Unions: 15. | nuhil_upazila_name_no_match; Upazila ""Pirgonj"" / ""পীরগঞ্জ"": 0 HDX matches in district 5585. Unions: 15. | nuhil_upazila_name_no_match; Upazila ""Pirgonj"" / ""পীরগঞ্জ"": 0 HDX matches in district 5585. Unions: 15. | nuhil_upazila_name_no_match; Upazila ""Pirgonj"" / ""পীরগঞ্জ"": 0 HDX matches in district 5585. Unions: 15. | nuhil_upazila_name_no_match; Upazila ""Pirgonj"" / ""পীরগঞ্জ"": 0 HDX matches in district 5585. Unions: 15. | nuhil_upazila_name_no_match; Upazila ""Pirgonj"" / ""পীরগঞ্জ"": 0 HDX matches in district 5585. Unions: 15."
R-1-1-14,14,nuhil_upazila_name_no_match,1,1,14,Chattagram,Cumilla,Sadarsouth,চট্টগ্রাম,কুমিল্লা,সদর দক্ষিণ,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Sadarsouth"" / ""সদর দক্ষিণ"": 0 HDX matches in district 2019. Unions: 14."
R-1-6-58,14,nuhil_upazila_name_no_match,1,6,58,Chattagram,Chandpur,Matlab North,চট্টগ্রাম,চাঁদপুর,মতলব উত্তর,(no candidate),(no candidate),(no candidate),,,,,PENDING,,"nuhil_upazila_name_no_match; Upazila ""Matlab North"" / ""মতলব উত্তর"": 0 HDX matches in district 2013. Unions: 14. | nuhil_missing_division; nuhil division id 1 missing; 14 unions. | nuhil_missing_division; nuhil division id 1 missing; 14 unions. | nuhil_missing_division; nuhil division id 1 missing; 14 unions. | nuhil_missing_division; nuhil division id 1 missing; 14 unions. | nuhil_missing_division; nuhil division id 1 missing; 14 unions. | nuhil_missing_division; nuhil division id 1 missing; 14 unions."
