division_code,district_code,name_en,name_bn,lat,lng,source,is_verified
1,1,Cumilla,কুমিল্লা,23.4682747,91.1788135,nuhil/bangladesh-geocode,false
1,10,Khagrachhari,খাগড়াছড়ি,23.119285,91.984663,nuhil/bangladesh-geocode,false
1,11,Bandarban,বান্দরবান,22.1953275,92.2183773,nuhil/bangladesh-geocode,false
2,12,Sirajganj,সিরাজগঞ্জ,24.4533978,89.7006815,nuhil/bangladesh-geocode,false
2,13,Pabna,পাবনা,23.998524,89.233645,nuhil/bangladesh-geocode,false
2,14,Bogura,বগুড়া,24.8465228,89.377755,nuhil/bangladesh-geocode,false
2,15,Rajshahi,রাজশাহী,24.37230298,88.56307623,nuhil/bangladesh-geocode,false
2,16,Natore,নাটোর,24.420556,89.000282,nuhil/bangladesh-geocode,false
2,17,Joypurhat,জয়পুরহাট,25.09636876,89.0400428,nuhil/bangladesh-geocode,false
2,18,Chapainawabganj,চাঁপাইনবাবগঞ্জ,24.5965034,88.2775122,nuhil/bangladesh-geocode,false
2,19,Naogaon,নওগাঁ,24.83256191,88.92485205,nuhil/bangladesh-geocode,false
1,2,Feni,ফেনী,23.023231,91.3840844,nuhil/bangladesh-geocode,false
3,20,Jashore,যশোর,23.16643,89.2081126,nuhil/bangladesh-geocode,false
3,21,Satkhira,সাতক্ষীরা,22.7180905,89.0687033,nuhil/bangladesh-geocode,false
3,22,Meherpur,মেহেরপুর,23.762213,88.631821,nuhil/bangladesh-geocode,false
3,23,Narail,নড়াইল,23.172534,89.512672,nuhil/bangladesh-geocode,false
3,24,Chuadanga,চুয়াডাঙ্গা,23.6401961,88.841841,nuhil/bangladesh-geocode,false
3,25,Kushtia,কুষ্টিয়া,23.901258,89.120482,nuhil/bangladesh-geocode,false
3,26,Magura,মাগুরা,23.487337,89.419956,nuhil/bangladesh-geocode,false
3,27,Khulna,খুলনা,22.815774,89.568679,nuhil/bangladesh-geocode,false
3,28,Bagerhat,বাগেরহাট,22.651568,89.785938,nuhil/bangladesh-geocode,false
