division_code,district_code,upazila_code,union_code,name_en,name_bn,lat,lng,source,is_verified
1,1,1,1,Subil,সুবিল,,,nuhil/bangladesh-geocode,false
1,1,1,2,North Gunaighor,উত্তর গুনাইঘর,,,nuhil/bangladesh-geocode,false
1,1,1,3,South Gunaighor,দক্ষিণ গুনাইঘর,,,nuhil/bangladesh-geocode,false
1,1,1,4,Boroshalghor,বড়শালঘর,,,nuhil/bangladesh-geocode,false
1,1,1,5,Rajameher,রাজামেহার,,,nuhil/bangladesh-geocode,false
1,1,1,6,Yousufpur,ইউসুফপুর,,,nuhil/bangladesh-geocode,false
1,1,1,7,Rasulpur,রসুলপুর,,,nuhil/bangladesh-geocode,false
1,1,1,8,Fatehabad,ফতেহাবাদ,,,nuhil/bangladesh-geocode,false
1,1,1,9,Elahabad,এলাহাবাদ,,,nuhil/bangladesh-geocode,false
1,1,1,10,Jafargonj,জাফরগঞ্জ,,,nuhil/bangladesh-geocode,false
1,1,1,11,Dhampti,ধামতী,,,nuhil/bangladesh-geocode,false
1,1,1,12,Mohanpur,মোহনপুর,,,nuhil/bangladesh-geocode,false
1,1,1,13,Vani,ভানী,,,nuhil/bangladesh-geocode,false
1,1,1,14,Barkamta,বরকামতা,,,nuhil/bangladesh-geocode,false
1,1,1,15,Sultanpur,সুলতানপুর,,,nuhil/bangladesh-geocode,false
1,1,2,16,Aganagar,আগানগর,,,nuhil/bangladesh-geocode,false
1,1,2,17,Bhabanipur,ভবানীপুর,,,nuhil/bangladesh-geocode,false
1,1,2,18,North Khoshbas,উত্তর খোশবাস,,,nuhil/bangladesh-geocode,false
1,1,2,19,South Khoshbas,দক্ষিন খোশবাস,,,nuhil/bangladesh-geocode,false
1,1,2,20,Jhalam,ঝলম,,,nuhil/bangladesh-geocode,false
1,1,2,21,Chitodda,চিতড্ডা,,,nuhil/bangladesh-geocode,false
1,1,2,22,North Shilmuri,উত্তর শিলমুড়ি,,,nuhil/bangladesh-geocode,false
1,1,2,23,South Shilmuri,দক্ষিন শিলমুড়ি,,,nuhil/bangladesh-geocode,false
1,1,2,24,Galimpur,গালিমপুর,,,nuhil/bangladesh-geocode,false
1,1,2,25,Shakpur,শাকপুর,,,nuhil/bangladesh-geocode,false
1,1,2,26,Bhaukshar,ভাউকসার,,,nuhil/bangladesh-geocode,false
1,1,2,27,Adda,আড্ডা,,,nuhil/bangladesh-geocode,false
1,1,2,28,Adra,আদ্রা,,,nuhil/bangladesh-geocode,false
1,1,2,29,Payalgacha,পয়ালগাছা,,,nuhil/bangladesh-geocode,false
1,1,2,30,Laxmipur,লক্ষীপুর,,,nuhil/bangladesh-geocode,false
1,1,3,31,Shidli,শিদলাই,,,nuhil/bangladesh-geocode,false
1,1,3,32,Chandla,চান্দলা,,,nuhil/bangladesh-geocode,false
1,1,3,33,Shashidal,শশীদল,,,nuhil/bangladesh-geocode,false
1,1,3,34,Dulalpur,দুলালপুর,,,nuhil/bangladesh-geocode,false
1,1,3,35,Brahmanpara Sadar,ব্রাহ্মনপাড়া সদর,,,nuhil/bangladesh-geocode,false
1,1,3,36,Shahebabad,সাহেবাবাদ,,,nuhil/bangladesh-geocode,false
1,1,3,37,Malapara,মালাপাড়া,,,nuhil/bangladesh-geocode,false
1,1,3,38,Madhabpur,মাধবপুর,,,nuhil/bangladesh-geocode,false
1,1,4,39,Shuhilpur,সুহিলপুর,,,nuhil/bangladesh-geocode,false
1,1,4,40,Bataghashi,বাতাঘাসি,,,nuhil/bangladesh-geocode,false
1,1,4,41,Joag,জোয়াগ,,,nuhil/bangladesh-geocode,false
1,1,4,42,Borcarai,বরকরই,,,nuhil/bangladesh-geocode,false
1,1,4,43,Madhaiya,মাধাইয়া,,,nuhil/bangladesh-geocode,false
1,1,4,44,Dollai Nowabpur,দোল্লাই নবাবপুর,,,nuhil/bangladesh-geocode,false
1,1,4,45,Mohichial,মহিচাইল,,,nuhil/bangladesh-geocode,false
1,1,4,46,Gollai,গল্লাই,,,nuhil/bangladesh-geocode,false
1,1,4,47,Keronkhal,কেরণখাল,,,nuhil/bangladesh-geocode,false
1,1,4,48,Maijkhar,মাইজখার,,,nuhil/bangladesh-geocode,false
1,1,4,49,Etberpur,এতবারপুর,,,nuhil/bangladesh-geocode,false
1,1,4,50,Barera,বাড়েরা,,,nuhil/bangladesh-geocode,false
1,1,4,51,Borcoit,বরকইট,,,nuhil/bangladesh-geocode,false
1,1,5,52,Sreepur,শ্রীপুর,,,nuhil/bangladesh-geocode,false
1,1,5,53,Kashinagar,কাশিনগর,,,nuhil/bangladesh-geocode,false
1,1,5,54,Kalikapur,কালিকাপুর,,,nuhil/bangladesh-geocode,false
1,1,5,55,Shuvapur,শুভপুর,,,nuhil/bangladesh-geocode,false
1,1,5,56,Ghulpasha,ঘোলপাশা,,,nuhil/bangladesh-geocode,false
1,1,5,57,Moonshirhat,মুন্সীরহাট,,,nuhil/bangladesh-geocode,false
1,1,5,58,Batisha,বাতিসা,,,nuhil/bangladesh-geocode,false
1,1,5,59,Kankapait,কনকাপৈত,,,nuhil/bangladesh-geocode,false
1,1,5,60,Cheora,চিওড়া,,,nuhil/bangladesh-geocode,false
1,1,5,61,Jagannatdighi,জগন্নাথদিঘী,,,nuhil/bangladesh-geocode,false
1,1,5,62,Goonabati,গুনবতী,,,nuhil/bangladesh-geocode,false
1,1,5,63,Alkara,আলকরা,,,nuhil/bangladesh-geocode,false
1,1,6,64,Doulotpur,দৌলতপুর,,,nuhil/bangladesh-geocode,false
1,1,6,65,Daudkandi,দাউদকান্দি,,,nuhil/bangladesh-geocode,false
1,1,6,66,North Eliotgonj,উত্তর ইলিয়টগঞ্জ,,,nuhil/bangladesh-geocode,false
1,1,6,67,South Eliotgonj,দক্ষিন ইলিয়টগঞ্জ,,,nuhil/bangladesh-geocode,false
1,1,6,68,Zinglatoli,জিংলাতলী,,,nuhil/bangladesh-geocode,false
1,1,6,69,Sundolpur,সুন্দলপুর,,,nuhil/bangladesh-geocode,false
1,1,6,70,Gouripur,গৌরীপুর,,,nuhil/bangladesh-geocode,false
1,1,6,71,East Mohammadpur,পুর্ব মোহাম্মদপুর,,,nuhil/bangladesh-geocode,false
1,1,6,72,West Mohammadpur,পশ্চিম মোহাম্মদপুর,,,nuhil/bangladesh-geocode,false
1,1,6,73,Goalmari,গোয়ালমারী,,,nuhil/bangladesh-geocode,false
1,1,6,74,Maruka,মারুকা,,,nuhil/bangladesh-geocode,false
1,1,6,75,Betessor,বিটেশ্বর,,,nuhil/bangladesh-geocode,false
1,1,6,76,Podua,পদুয়া,,,nuhil/bangladesh-geocode,false
1,1,6,77,West Passgacia,পশ্চিম পাচঁগাছিয়া,,,nuhil/bangladesh-geocode,false
1,1,6,78,Baropara,বারপাড়া,,,nuhil/bangladesh-geocode,false
1,1,7,79,Mathabanga,মাথাভাঙ্গা,,,nuhil/bangladesh-geocode,false
1,1,7,80,Gagutiea,ঘাগুটিয়া,,,nuhil/bangladesh-geocode,false
1,1,7,81,Asadpur,আছাদপুর,,,nuhil/bangladesh-geocode,false
1,1,7,82,Chanderchor,চান্দেরচর,,,nuhil/bangladesh-geocode,false
1,1,7,83,Vashania,ভাষানিয়া,,,nuhil/bangladesh-geocode,false
1,1,7,84,Nilokhi,নিলখী,,,nuhil/bangladesh-geocode,false
1,1,7,85,Garmora,ঘারমোড়া,,,nuhil/bangladesh-geocode,false
1,1,7,86,Joypur,জয়পুর,,,nuhil/bangladesh-geocode,false
1,1,7,87,Dulalpur,দুলালপুর,,,nuhil/bangladesh-geocode,false
1,1,8,88,Bakoi,বাকই,,,nuhil/bangladesh-geocode,false
1,1,8,89,Mudafargonj,মুদাফফর গঞ্জ,,,nuhil/bangladesh-geocode,false
1,1,8,90,Kandirpar,কান্দিরপাড়,,,nuhil/bangladesh-geocode,false
1,1,8,91,Gobindapur,গোবিন্দপুর,,,nuhil/bangladesh-geocode,false
1,1,8,92,Uttarda,উত্তরদা,,,nuhil/bangladesh-geocode,false
1,1,8,93,Laksam Purba,লাকসাম পুর্ব,,,nuhil/bangladesh-geocode,false
1,1,8,94,Azgora,আজগরা,,,nuhil/bangladesh-geocode,false
1,1,9,95,Sreekil,শ্রীকাইল,,,nuhil/bangladesh-geocode,false
1,1,9,96,Akubpur,আকুবপুর,,,nuhil/bangladesh-geocode,false
1,1,9,97,Andicot,আন্দিকোট,,,nuhil/bangladesh-geocode,false
1,1,9,98,Purbadair (East),পুর্বধৈইর (পুর্ব),,,nuhil/bangladesh-geocode,false
1,1,9,99,Purbadair (West),পুর্বধৈইর (পশ্চিম),,,nuhil/bangladesh-geocode,false
1,1,9,100,Bangara (East),বাঙ্গরা (পূর্ব),,,nuhil/bangladesh-geocode,false
1,1,9,101,Bangara (West),বাঙ্গরা (পশ্চিম),,,nuhil/bangladesh-geocode,false
1,1,9,102,Chapitala,চাপিতলা,,,nuhil/bangladesh-geocode,false
1,1,9,103,Camalla,কামাল্লা,,,nuhil/bangladesh-geocode,false
1,1,9,104,Jatrapur,যাত্রাপুর,,,nuhil/bangladesh-geocode,false
1,1,9,105,Ramachandrapur (North),রামচন্দ্রপুর (উত্তর),,,nuhil/bangladesh-geocode,false
1,1,9,106,Ramachandrapur (South),রামচন্দ্রপুর (দক্ষিন),,,nuhil/bangladesh-geocode,false
1,1,9,107,Muradnagar Sadar,মুরাদনগর সদর,,,nuhil/bangladesh-geocode,false
1,1,9,108,Nobipur (East),নবীপুর (পুর্ব),,,nuhil/bangladesh-geocode,false
1,1,9,109,Nobipur (West),নবীপুর (পশ্চিম),,,nuhil/bangladesh-geocode,false
1,1,9,110,Damgar,ধামঘর,,,nuhil/bangladesh-geocode,false
1,1,9,111,Jahapur,জাহাপুর,,,nuhil/bangladesh-geocode,false
1,1,9,112,Salikandi,ছালিয়াকান্দি,,,nuhil/bangladesh-geocode,false
1,1,9,113,Darura,দারোরা,,,nuhil/bangladesh-geocode,false
1,1,9,114,Paharpur,পাহাড়পুর,,,nuhil/bangladesh-geocode,false
1,1,9,115,Babutipara,বাবুটিপাড়া,,,nuhil/bangladesh-geocode,false
1,1,9,116,Tanki,টনকী,,,nuhil/bangladesh-geocode,false
1,1,10,117,Bangadda,বাঙ্গড্ডা,,,nuhil/bangladesh-geocode,false
1,1,10,118,Paria,পেরিয়া,,,nuhil/bangladesh-geocode,false
1,1,10,119,Raykot,রায়কোট,,,nuhil/bangladesh-geocode,false
1,1,10,120,Mokara,মোকরা,,,nuhil/bangladesh-geocode,false
1,1,10,121,Makrabpur,মক্রবপুর,,,nuhil/bangladesh-geocode,false
1,1,10,122,Heshakhal,হেসাখাল,,,nuhil/bangladesh-geocode,false
1,1,10,123,Adra,আদ্রা,,,nuhil/bangladesh-geocode,false
1,1,10,124,Judda,জোড্ডা,,,nuhil/bangladesh-geocode,false
1,1,10,125,Dhalua,ঢালুয়া,,,nuhil/bangladesh-geocode,false
1,1,10,126,Doulkha,দৌলখাঁড়,,,nuhil/bangladesh-geocode,false
1,1,10,127,Boxgonj,বক্সগঞ্জ,,,nuhil/bangladesh-geocode,false
1,1,10,128,Satbaria,সাতবাড়ীয়া,,,nuhil/bangladesh-geocode,false
1,1,11,129,Kalirbazer,কালীর বাজার,,,nuhil/bangladesh-geocode,false
1,1,11,130,North Durgapur,উত্তর দুর্গাপুর,,,nuhil/bangladesh-geocode,false
1,1,11,131,South Durgapur,দক্ষিন দুর্গাপুর,,,nuhil/bangladesh-geocode,false
1,1,11,132,Amratoli,আমড়াতলী,,,nuhil/bangladesh-geocode,false
1,1,11,133,Panchthubi,পাঁচথুবী,,,nuhil/bangladesh-geocode,false
1,1,11,134,Jagannatpur,জগন্নাথপুর,,,nuhil/bangladesh-geocode,false
1,1,12,135,Chandanpur,চন্দনপুর,,,nuhil/bangladesh-geocode,false
1,1,12,136,Chalibanga,চালিভাঙ্গা,,,nuhil/bangladesh-geocode,false
1,1,12,137,Radanagar,রাধানগর,,,nuhil/bangladesh-geocode,false
1,1,12,138,Manikarchar,মানিকারচর,,,nuhil/bangladesh-geocode,false
1,1,12,139,Barakanda,বড়কান্দা,,,nuhil/bangladesh-geocode,false
1,1,12,140,Govindapur,গোবিন্দপুর,,,nuhil/bangladesh-geocode,false
1,1,12,141,Luterchar,লুটেরচর,,,nuhil/bangladesh-geocode,false
1,1,12,142,Vaorkhola,ভাওরখোলা,,,nuhil/bangladesh-geocode,false
1,1,13,143,Baishgaon,বাইশগাঁও,,,nuhil/bangladesh-geocode,false
1,1,13,144,Shoroshpur,সরসপুর,,,nuhil/bangladesh-geocode,false
1,1,13,145,Hasnabad,হাসনাবাদ,,,nuhil/bangladesh-geocode,false
1,1,13,146,Jholam (North),ঝলম (উত্তর),,,nuhil/bangladesh-geocode,false
1,1,13,147,Jholam (South),ঝলম (দক্ষিন),,,nuhil/bangladesh-geocode,false
1,1,13,148,Moishatua,মৈশাতুয়া,,,nuhil/bangladesh-geocode,false
1,1,13,149,Lokkhanpur,লক্ষনপুর,,,nuhil/bangladesh-geocode,false
1,1,13,150,Khela,খিলা,,,nuhil/bangladesh-geocode,false
1,1,13,151,Uttarhowla,উত্তর হাওলা,,,nuhil/bangladesh-geocode,false
1,1,13,152,Natherpetua,নাথেরপেটুয়া,,,nuhil/bangladesh-geocode,false
1,1,13,153,Bipulashar,বিপুলাসার,,,nuhil/bangladesh-geocode,false
1,1,14,154,Chuwara,চৌয়ারা,,,nuhil/bangladesh-geocode,false
1,1,14,155,Baropara,বারপাড়া,,,nuhil/bangladesh-geocode,false
1,1,14,156,Jorkanoneast,জোড়কানন (পুর্ব),,,nuhil/bangladesh-geocode,false
1,1,14,157,Goliara,গলিয়ারা,,,nuhil/bangladesh-geocode,false
1,1,14,158,Jorkanonwest,জোড়কানন (পশ্চিম),,,nuhil/bangladesh-geocode,false
1,1,14,159,Bagmara (North),বাগমারা (উত্তর),,,nuhil/bangladesh-geocode,false
1,1,14,160,Bagmara (South),বাগমারা (দক্ষিন),,,nuhil/bangladesh-geocode,false
1,1,14,161,Bhuloin (North),ভূলইন (উত্তর),,,nuhil/bangladesh-geocode,false
1,1,14,162,Bhuloin (South),ভূলইন (দক্ষিন),,,nuhil/bangladesh-geocode,false
1,1,14,163,Belgor (North),বেলঘর (উত্তর),,,nuhil/bangladesh-geocode,false
1,1,14,164,Belgor (South),বেলঘর (দক্ষিন),,,nuhil/bangladesh-geocode,false
