district_code,upazila_code,name_en,name_bn,lat,lng,source,is_verified
1,1,Debidwar,দেবিদ্বার,,,nuhil/bangladesh-geocode,false
1,10,Nangalkot,নাঙ্গলকোট,,,nuhil/bangladesh-geocode,false
11,100,Rowangchhari,রোয়াংছড়ি,,,nuhil/bangladesh-geocode,false
11,101,Lama,লামা,,,nuhil/bangladesh-geocode,false
11,102,Ruma,রুমা,,,nuhil/bangladesh-geocode,false
11,103,Thanchi,থানচি,,,nuhil/bangladesh-geocode,false
12,104,Belkuchi,বেলকুচি,,,nuhil/bangladesh-geocode,false
12,105,Chauhali,চৌহালি,,,nuhil/bangladesh-geocode,false
12,106,Kamarkhand,কামারখন্দ,,,nuhil/bangladesh-geocode,false
12,107,Kazipur,কাজীপুর,,,nuhil/bangladesh-geocode,false
12,108,Raigonj,রায়গঞ্জ,,,nuhil/bangladesh-geocode,false
12,109,Shahjadpur,শাহজাদপুর,,,nuhil/bangladesh-geocode,false
1,11,Comilla Sadar,কুমিল্লা সদর,,,nuhil/bangladesh-geocode,false
12,110,Sirajganj Sadar,সিরাজগঞ্জ সদর,,,nuhil/bangladesh-geocode,false
12,111,Tarash,তাড়াশ,,,nuhil/bangladesh-geocode,false
12,112,Ullapara,উল্লাপাড়া,,,nuhil/bangladesh-geocode,false
13,113,Sujanagar,সুজানগর,,,nuhil/bangladesh-geocode,false
13,114,Ishurdi,ঈশ্বরদী,,,nuhil/bangladesh-geocode,false
13,115,Bhangura,ভাঙ্গুড়া,,,nuhil/bangladesh-geocode,false
13,116,Pabna Sadar,পাবনা সদর,,,nuhil/bangladesh-geocode,false
13,117,Bera,বেড়া,,,nuhil/bangladesh-geocode,false
13,118,Atghoria,আটঘরিয়া,,,nuhil/bangladesh-geocode,false
13,119,Chatmohar,চাটমোহর,,,nuhil/bangladesh-geocode,false
1,12,Meghna,মেঘনা,,,nuhil/bangladesh-geocode,false
13,120,Santhia,সাঁথিয়া,,,nuhil/bangladesh-geocode,false
13,121,Faridpur,ফরিদপুর,,,nuhil/bangladesh-geocode,false
14,122,Kahaloo,কাহালু,,,nuhil/bangladesh-geocode,false
14,123,Bogra Sadar,বগুড়া সদর,,,nuhil/bangladesh-geocode,false
14,124,Shariakandi,সারিয়াকান্দি,,,nuhil/bangladesh-geocode,false
14,125,Shajahanpur,শাজাহানপুর,,,nuhil/bangladesh-geocode,false
14,126,Dupchanchia,দুপচাচিঁয়া,,,nuhil/bangladesh-geocode,false
14,127,Adamdighi,আদমদিঘি,,,nuhil/bangladesh-geocode,false
14,128,Nondigram,নন্দিগ্রাম,,,nuhil/bangladesh-geocode,false
14,129,Sonatala,সোনাতলা,,,nuhil/bangladesh-geocode,false
1,13,Monohargonj,মনোহরগঞ্জ,,,nuhil/bangladesh-geocode,false
14,130,Dhunot,ধুনট,,,nuhil/bangladesh-geocode,false
14,131,Gabtali,গাবতলী,,,nuhil/bangladesh-geocode,false
14,132,Sherpur,শেরপুর,,,nuhil/bangladesh-geocode,false
14,133,Shibganj,শিবগঞ্জ,,,nuhil/bangladesh-geocode,false
15,134,Paba,পবা,,,nuhil/bangladesh-geocode,false
15,135,Durgapur,দুর্গাপুর,,,nuhil/bangladesh-geocode,false
15,136,Mohonpur,মোহনপুর,,,nuhil/bangladesh-geocode,false
15,137,Charghat,চারঘাট,,,nuhil/bangladesh-geocode,false
15,138,Puthia,পুঠিয়া,,,nuhil/bangladesh-geocode,false
15,139,Bagha,বাঘা,,,nuhil/bangladesh-geocode,false
1,14,Sadarsouth,সদর দক্ষিণ,,,nuhil/bangladesh-geocode,false
15,140,Godagari,গোদাগাড়ী,,,nuhil/bangladesh-geocode,false
15,141,Tanore,তানোর,,,nuhil/bangladesh-geocode,false
15,142,Bagmara,বাগমারা,,,nuhil/bangladesh-geocode,false
16,143,Natore Sadar,নাটোর সদর,,,nuhil/bangladesh-geocode,false
16,144,Singra,সিংড়া,,,nuhil/bangladesh-geocode,false
16,145,Baraigram,বড়াইগ্রাম,,,nuhil/bangladesh-geocode,false
16,146,Bagatipara,বাগাতিপাড়া,,,nuhil/bangladesh-geocode,false
16,147,Lalpur,লালপুর,,,nuhil/bangladesh-geocode,false
16,148,Gurudaspur,গুরুদাসপুর,,,nuhil/bangladesh-geocode,false
16,149,Naldanga,নলডাঙ্গা,,,nuhil/bangladesh-geocode,false
1,15,Titas,তিতাস,,,nuhil/bangladesh-geocode,false
17,150,Akkelpur,আক্কেলপুর,,,nuhil/bangladesh-geocode,false
17,151,Kalai,কালাই,,,nuhil/bangladesh-geocode,false
17,152,Khetlal,ক্ষেতলাল,,,nuhil/bangladesh-geocode,false
17,153,Panchbibi,পাঁচবিবি,,,nuhil/bangladesh-geocode,false
17,154,Joypurhat Sadar,জয়পুরহাট সদর,,,nuhil/bangladesh-geocode,false
18,155,Chapainawabganj Sadar,চাঁপাইনবাবগঞ্জ সদর,,,nuhil/bangladesh-geocode,false
18,156,Gomostapur,গোমস্তাপুর,,,nuhil/bangladesh-geocode,false
18,157,Nachol,নাচোল,,,nuhil/bangladesh-geocode,false
18,158,Bholahat,ভোলাহাট,,,nuhil/bangladesh-geocode,false
18,159,Shibganj,শিবগঞ্জ,,,nuhil/bangladesh-geocode,false
1,16,Burichang,বুড়িচং,,,nuhil/bangladesh-geocode,false
19,160,Mohadevpur,মহাদেবপুর,,,nuhil/bangladesh-geocode,false
19,161,Badalgachi,বদলগাছী,,,nuhil/bangladesh-geocode,false
19,162,Patnitala,পত্নিতলা,,,nuhil/bangladesh-geocode,false
19,163,Dhamoirhat,ধামইরহাট,,,nuhil/bangladesh-geocode,false
19,164,Niamatpur,নিয়ামতপুর,,,nuhil/bangladesh-geocode,false
19,165,Manda,মান্দা,,,nuhil/bangladesh-geocode,false
19,166,Atrai,আত্রাই,,,nuhil/bangladesh-geocode,false
19,167,Raninagar,রাণীনগর,,,nuhil/bangladesh-geocode,false
19,168,Naogaon Sadar,নওগাঁ সদর,,,nuhil/bangladesh-geocode,false
19,169,Porsha,পোরশা,,,nuhil/bangladesh-geocode,false
1,17,Lalmai,লালমাই,,,nuhil/bangladesh-geocode,false
19,170,Sapahar,সাপাহার,,,nuhil/bangladesh-geocode,false
20,171,Manirampur,মণিরামপুর,,,nuhil/bangladesh-geocode,false
20,172,Abhaynagar,অভয়নগর,,,nuhil/bangladesh-geocode,false
20,173,Bagherpara,বাঘারপাড়া,,,nuhil/bangladesh-geocode,false
20,174,Chougachha,চৌগাছা,,,nuhil/bangladesh-geocode,false
20,175,Jhikargacha,ঝিকরগাছা,,,nuhil/bangladesh-geocode,false
20,176,Keshabpur,কেশবপুর,,,nuhil/bangladesh-geocode,false
20,177,Jessore Sadar,যশোর সদর,,,nuhil/bangladesh-geocode,false
20,178,Sharsha,শার্শা,,,nuhil/bangladesh-geocode,false
21,179,Assasuni,আশাশুনি,,,nuhil/bangladesh-geocode,false
2,18,Chhagalnaiya,ছাগলনাইয়া,,,nuhil/bangladesh-geocode,false
21,180,Debhata,দেবহাটা,,,nuhil/bangladesh-geocode,false
21,181,Kalaroa,কলারোয়া,,,nuhil/bangladesh-geocode,false
21,182,Satkhira Sadar,সাতক্ষীরা সদর,,,nuhil/bangladesh-geocode,false
21,183,Shyamnagar,শ্যামনগর,,,nuhil/bangladesh-geocode,false
21,184,Tala,তালা,,,nuhil/bangladesh-geocode,false
21,185,Kaliganj,কালিগঞ্জ,,,nuhil/bangladesh-geocode,false
22,186,Mujibnagar,মুজিবনগর,,,nuhil/bangladesh-geocode,false
22,187,Meherpur Sadar,মেহেরপুর সদর,,,nuhil/bangladesh-geocode,false
22,188,Gangni,গাংনী,,,nuhil/bangladesh-geocode,false
23,189,Narail Sadar,নড়াইল সদর,,,nuhil/bangladesh-geocode,false
2,19,Feni Sadar,ফেনী সদর,,,nuhil/bangladesh-geocode,false
23,190,Lohagara,লোহাগড়া,,,nuhil/bangladesh-geocode,false
23,191,Kalia,কালিয়া,,,nuhil/bangladesh-geocode,false
24,192,Chuadanga Sadar,চুয়াডাঙ্গা সদর,,,nuhil/bangladesh-geocode,false
24,193,Alamdanga,আলমডাঙ্গা,,,nuhil/bangladesh-geocode,false
24,194,Damurhuda,দামুড়হুদা,,,nuhil/bangladesh-geocode,false
24,195,Jibannagar,জীবননগর,,,nuhil/bangladesh-geocode,false
25,196,Kushtia Sadar,কুষ্টিয়া সদর,,,nuhil/bangladesh-geocode,false
25,197,Kumarkhali,কুমারখালী,,,nuhil/bangladesh-geocode,false
25,198,Khoksa,খোকসা,,,nuhil/bangladesh-geocode,false
25,199,Mirpur,মিরপুর,,,nuhil/bangladesh-geocode,false
1,2,Barura,বরুড়া,,,nuhil/bangladesh-geocode,false
2,20,Sonagazi,সোনাগাজী,,,nuhil/bangladesh-geocode,false
25,200,Daulatpur,দৌলতপুর,,,nuhil/bangladesh-geocode,false
25,201,Bheramara,ভেড়ামারা,,,nuhil/bangladesh-geocode,false
26,202,Shalikha,শালিখা,,,nuhil/bangladesh-geocode,false
26,203,Sreepur,শ্রীপুর,,,nuhil/bangladesh-geocode,false
26,204,Magura Sadar,মাগুরা সদর,,,nuhil/bangladesh-geocode,false
26,205,Mohammadpur,মহম্মদপুর,,,nuhil/bangladesh-geocode,false
27,206,Paikgasa,পাইকগাছা,,,nuhil/bangladesh-geocode,false
27,207,Fultola,ফুলতলা,,,nuhil/bangladesh-geocode,false
27,208,Digholia,দিঘলিয়া,,,nuhil/bangladesh-geocode,false
27,209,Rupsha,রূপসা,,,nuhil/bangladesh-geocode,false
2,21,Fulgazi,ফুলগাজী,,,nuhil/bangladesh-geocode,false
27,210,Terokhada,তেরখাদা,,,nuhil/bangladesh-geocode,false
27,211,Dumuria,ডুমুরিয়া,,,nuhil/bangladesh-geocode,false
27,212,Botiaghata,বটিয়াঘাটা,,,nuhil/bangladesh-geocode,false
