division_code,district_code,upazila_code,union_code,name_en,name_bn,lat,lng,source,is_verified
20,2019,20190040,1,Subil,সুবিল,,,nuhil/bangladesh-geocode,false
20,2019,20190040,2,North Gunaighor,উত্তর গুনাইঘর,,,nuhil/bangladesh-geocode,false
20,2019,20190040,3,South Gunaighor,দক্ষিণ গুনাইঘর,,,nuhil/bangladesh-geocode,false
20,2019,20190040,4,Boroshalghor,বড়শালঘর,,,nuhil/bangladesh-geocode,false
20,2019,20190040,5,Rajameher,রাজামেহার,,,nuhil/bangladesh-geocode,false
20,2019,20190040,6,Yousufpur,ইউসুফপুর,,,nuhil/bangladesh-geocode,false
20,2019,20190040,7,Rasulpur,রসুলপুর,,,nuhil/bangladesh-geocode,false
20,2019,20190040,8,Fatehabad,ফতেহাবাদ,,,nuhil/bangladesh-geocode,false
20,2019,20190040,9,Elahabad,এলাহাবাদ,,,nuhil/bangladesh-geocode,false
20,2019,20190040,10,Jafargonj,জাফরগঞ্জ,,,nuhil/bangladesh-geocode,false
20,2019,20190040,11,Dhampti,ধামতী,,,nuhil/bangladesh-geocode,false
20,2019,20190040,12,Mohanpur,মোহনপুর,,,nuhil/bangladesh-geocode,false
20,2019,20190040,13,Vani,ভানী,,,nuhil/bangladesh-geocode,false
20,2019,20190040,14,Barkamta,বরকামতা,,,nuhil/bangladesh-geocode,false
20,2019,20190040,15,Sultanpur,সুলতানপুর,,,nuhil/bangladesh-geocode,false
20,2019,20190009,16,Aganagar,আগানগর,,,nuhil/bangladesh-geocode,false
20,2019,20190009,17,Bhabanipur,ভবানীপুর,,,nuhil/bangladesh-geocode,false
20,2019,20190009,18,North Khoshbas,উত্তর খোশবাস,,,nuhil/bangladesh-geocode,false
20,2019,20190009,19,South Khoshbas,দক্ষিন খোশবাস,,,nuhil/bangladesh-geocode,false
20,2019,20190009,20,Jhalam,ঝলম,,,nuhil/bangladesh-geocode,false
20,2019,20190009,21,Chitodda,চিতড্ডা,,,nuhil/bangladesh-geocode,false
20,2019,20190009,22,North Shilmuri,উত্তর শিলমুড়ি,,,nuhil/bangladesh-geocode,false
20,2019,20190009,23,South Shilmuri,দক্ষিন শিলমুড়ি,,,nuhil/bangladesh-geocode,false
20,2019,20190009,24,Galimpur,গালিমপুর,,,nuhil/bangladesh-geocode,false
20,2019,20190009,25,Shakpur,শাকপুর,,,nuhil/bangladesh-geocode,false
20,2019,20190009,26,Bhaukshar,ভাউকসার,,,nuhil/bangladesh-geocode,false
20,2019,20190009,27,Adda,আড্ডা,,,nuhil/bangladesh-geocode,false
20,2019,20190009,28,Adra,আদ্রা,,,nuhil/bangladesh-geocode,false
20,2019,20190009,29,Payalgacha,পয়ালগাছা,,,nuhil/bangladesh-geocode,false
20,2019,20190009,30,Laxmipur,লক্ষীপুর,,,nuhil/bangladesh-geocode,false
20,2019,20190015,31,Shidli,শিদলাই,,,nuhil/bangladesh-geocode,false
20,2019,20190015,32,Chandla,চান্দলা,,,nuhil/bangladesh-geocode,false
20,2019,20190015,33,Shashidal,শশীদল,,,nuhil/bangladesh-geocode,false
20,2019,20190015,34,Dulalpur,দুলালপুর,,,nuhil/bangladesh-geocode,false
20,2019,20190015,35,Brahmanpara Sadar,ব্রাহ্মনপাড়া সদর,,,nuhil/bangladesh-geocode,false
20,2019,20190015,36,Shahebabad,সাহেবাবাদ,,,nuhil/bangladesh-geocode,false
20,2019,20190015,37,Malapara,মালাপাড়া,,,nuhil/bangladesh-geocode,false
20,2019,20190015,38,Madhabpur,মাধবপুর,,,nuhil/bangladesh-geocode,false
20,2019,20190027,39,Shuhilpur,সুহিলপুর,,,nuhil/bangladesh-geocode,false
20,2019,20190027,40,Bataghashi,বাতাঘাসি,,,nuhil/bangladesh-geocode,false
20,2019,20190027,41,Joag,জোয়াগ,,,nuhil/bangladesh-geocode,false
20,2019,20190027,42,Borcarai,বরকরই,,,nuhil/bangladesh-geocode,false
20,2019,20190027,43,Madhaiya,মাধাইয়া,,,nuhil/bangladesh-geocode,false
20,2019,20190027,44,Dollai Nowabpur,দোল্লাই নবাবপুর,,,nuhil/bangladesh-geocode,false
20,2019,20190027,45,Mohichial,মহিচাইল,,,nuhil/bangladesh-geocode,false
20,2019,20190027,46,Gollai,গল্লাই,,,nuhil/bangladesh-geocode,false
20,2019,20190027,47,Keronkhal,কেরণখাল,,,nuhil/bangladesh-geocode,false
20,2019,20190027,48,Maijkhar,মাইজখার,,,nuhil/bangladesh-geocode,false
20,2019,20190027,49,Etberpur,এতবারপুর,,,nuhil/bangladesh-geocode,false
20,2019,20190027,50,Barera,বাড়েরা,,,nuhil/bangladesh-geocode,false
20,2019,20190027,51,Borcoit,বরকইট,,,nuhil/bangladesh-geocode,false
