reason,detail,payload
nuhil_upazila_name_no_match,Comilla Sadar,"{""id"":""129"",""upazilaId"":""11"",""nameEn"":""Kalirbazer"",""nameBn"":""কালীর বাজার""}"
nuhil_upazila_name_no_match,Comilla Sadar,"{""id"":""130"",""upazilaId"":""11"",""nameEn"":""North Durgapur"",""nameBn"":""উত্তর দুর্গাপুর""}"
nuhil_upazila_name_no_match,Comilla Sadar,"{""id"":""131"",""upazilaId"":""11"",""nameEn"":""South Durgapur"",""nameBn"":""দক্ষিন দুর্গাপুর""}"
nuhil_upazila_name_no_match,Comilla Sadar,"{""id"":""132"",""upazilaId"":""11"",""nameEn"":""Amratoli"",""nameBn"":""আমড়াতলী""}"
nuhil_upazila_name_no_match,Comilla Sadar,"{""id"":""133"",""upazilaId"":""11"",""nameEn"":""Panchthubi"",""nameBn"":""পাঁচথুবী""}"
nuhil_upazila_name_no_match,Comilla Sadar,"{""id"":""134"",""upazilaId"":""11"",""nameEn"":""Jagannatpur"",""nameBn"":""জগন্নাথপুর""}"
nuhil_upazila_name_no_match,Monohargonj,"{""id"":""143"",""upazilaId"":""13"",""nameEn"":""Baishgaon"",""nameBn"":""বাইশগাঁও""}"
nuhil_upazila_name_no_match,Monohargonj,"{""id"":""144"",""upazilaId"":""13"",""nameEn"":""Shoroshpur"",""nameBn"":""সরসপুর""}"
nuhil_upazila_name_no_match,Monohargonj,"{""id"":""145"",""upazilaId"":""13"",""nameEn"":""Hasnabad"",""nameBn"":""হাসনাবাদ""}"
nuhil_upazila_name_no_match,Monohargonj,"{""id"":""146"",""upazilaId"":""13"",""nameEn"":""Jholam (North)"",""nameBn"":""ঝলম (উত্তর)""}"
nuhil_upazila_name_no_match,Monohargonj,"{""id"":""147"",""upazilaId"":""13"",""nameEn"":""Jholam (South)"",""nameBn"":""ঝলম (দক্ষিন)""}"
nuhil_upazila_name_no_match,Monohargonj,"{""id"":""148"",""upazilaId"":""13"",""nameEn"":""Moishatua"",""nameBn"":""মৈশাতুয়া""}"
nuhil_upazila_name_no_match,Monohargonj,"{""id"":""149"",""upazilaId"":""13"",""nameEn"":""Lokkhanpur"",""nameBn"":""লক্ষনপুর""}"
nuhil_upazila_name_no_match,Monohargonj,"{""id"":""150"",""upazilaId"":""13"",""nameEn"":""Khela"",""nameBn"":""খিলা""}"
nuhil_upazila_name_no_match,Monohargonj,"{""id"":""151"",""upazilaId"":""13"",""nameEn"":""Uttarhowla"",""nameBn"":""উত্তর হাওলা""}"
nuhil_upazila_name_no_match,Monohargonj,"{""id"":""152"",""upazilaId"":""13"",""nameEn"":""Natherpetua"",""nameBn"":""নাথেরপেটুয়া""}"
nuhil_upazila_name_no_match,Monohargonj,"{""id"":""153"",""upazilaId"":""13"",""nameEn"":""Bipulashar"",""nameBn"":""বিপুলাসার""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""154"",""upazilaId"":""14"",""nameEn"":""Chuwara"",""nameBn"":""চৌয়ারা""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""155"",""upazilaId"":""14"",""nameEn"":""Baropara"",""nameBn"":""বারপাড়া""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""156"",""upazilaId"":""14"",""nameEn"":""Jorkanoneast"",""nameBn"":""জোড়কানন (পুর্ব)""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""157"",""upazilaId"":""14"",""nameEn"":""Goliara"",""nameBn"":""গলিয়ারা""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""158"",""upazilaId"":""14"",""nameEn"":""Jorkanonwest"",""nameBn"":""জোড়কানন (পশ্চিম)""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""159"",""upazilaId"":""14"",""nameEn"":""Bagmara (North)"",""nameBn"":""বাগমারা (উত্তর)""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""160"",""upazilaId"":""14"",""nameEn"":""Bagmara (South)"",""nameBn"":""বাগমারা (দক্ষিন)""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""161"",""upazilaId"":""14"",""nameEn"":""Bhuloin (North)"",""nameBn"":""ভূলইন (উত্তর)""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""162"",""upazilaId"":""14"",""nameEn"":""Bhuloin (South)"",""nameBn"":""ভূলইন (দক্ষিন)""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""163"",""upazilaId"":""14"",""nameEn"":""Belgor (North)"",""nameBn"":""বেলঘর (উত্তর)""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""164"",""upazilaId"":""14"",""nameEn"":""Belgor (South)"",""nameBn"":""বেলঘর (দক্ষিন)""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""165"",""upazilaId"":""14"",""nameEn"":""Perul (North)"",""nameBn"":""পেরুল (উত্তর)""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""166"",""upazilaId"":""14"",""nameEn"":""Perul (South)"",""nameBn"":""পেরুল (দক্ষিন)""}"
nuhil_upazila_name_no_match,Sadarsouth,"{""id"":""167"",""upazilaId"":""14"",""nameEn"":""Bijoypur"",""nameBn"":""বিজয়পুর""}"
nuhil_upazila_name_no_match,Parshuram,"{""id"":""225"",""upazilaId"":""22"",""nameEn"":""Mizanagar"",""nameBn"":""মির্জানগর""}"
nuhil_upazila_name_no_match,Parshuram,"{""id"":""226"",""upazilaId"":""22"",""nameEn"":""Ctholia"",""nameBn"":""চিথলিয়া""}"
nuhil_upazila_name_no_match,Parshuram,"{""id"":""227"",""upazilaId"":""22"",""nameEn"":""Boxmahmmud"",""nameBn"":""বক্সমাহমুদ""}"
nuhil_upazila_name_no_match,Bancharampur,"{""id"":""313"",""upazilaId"":""31"",""nameEn"":""Tazkhali"",""nameBn"":""তেজখালী""}"
nuhil_upazila_name_no_match,Bancharampur,"{""id"":""314"",""upazilaId"":""31"",""nameEn"":""Pahariya Kandi"",""nameBn"":""পাহাড়িয়া কান্দি""}"
nuhil_upazila_name_no_match,Bancharampur,"{""id"":""315"",""upazilaId"":""31"",""nameEn"":""Dariadulat"",""nameBn"":""দরিয়াদৌলত""}"
nuhil_upazila_name_no_match,Bancharampur,"{""id"":""316"",""upazilaId"":""31"",""nameEn"":""Sonarampur"",""nameBn"":""সোনারামপুর""}"
nuhil_upazila_name_no_match,Bancharampur,"{""id"":""317"",""upazilaId"":""31"",""nameEn"":""Darikandi"",""nameBn"":""দড়িকান্দি""}"
