adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm2_ref_name,center_lat,center_lon
Barguna,,,,BD1004,Barishal,,,,BD10,Bangladesh,,,,BD,21/05/23,,1534.961669,v03,en,,,,,22.12826176,90.11013297
Barishal,,,,BD1006,Barishal,,,,BD10,Bangladesh,,,,BD,21/05/23,,2553.415382,v03,en,,,,,22.81938712,90.36878699
Bhola,,,,BD1009,Barishal,,,,BD10,Bangladesh,,,,BD,21/05/23,,3471.662936,v03,en,,,,,22.31032075,90.76398251
Jhalokati,,,,BD1042,Barishal,,,,BD10,Bangladesh,,,,BD,21/05/23,,735.7051492,v03,en,,,,,22.57234148,90.1818978
Patuakhali,,,,BD1078,Barishal,,,,BD10,Bangladesh,,,,BD,21/05/23,,3125.033859,v03,en,,,,,22.16518723,90.40725721
Pirojpur,,,,BD1079,Barishal,,,,BD10,Bangladesh,,,,BD,21/05/23,,1272.691561,v03,en,,,,,22.53203658,89.99209019
Bandarban,,,,BD2003,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,4591.013093,v03,en,,,,,21.80450621,92.36513578
Brahmanbaria,,,,BD2012,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,1928.268648,v03,en,,,,,23.95334265,91.08317152
Chandpur,,,,BD2013,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,1719.828582,v03,en,,,,,23.2611099,90.74888906
Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,4879.23669,v03,en,,,,,22.44673258,91.8192279
Cumilla,,,,BD2019,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,3097.339378,v03,en,,,,,23.43704815,91.03297863
Cox's Bazar,,,,BD2022,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,2326.700865,v03,en,,,,,21.47601131,92.06251685
Feni,,,,BD2030,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,929.4778367,v03,en,,,,,22.99495456,91.41199797
Khagrachhari,,,,BD2046,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,2977.804706,v03,en,,,,,23.17194143,91.95645652
Lakshmipur,,,,BD2051,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,1503.108935,v03,en,,,,,22.85093416,90.85368875
Noakhali,,,,BD2075,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,3236.999957,v03,en,,,,,22.65806244,91.12949863
Rangamati,,,,BD2084,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,5643.298646,v03,en,,,,,22.82507051,92.28109045
Dhaka,,,,BD3026,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,1469.7879,v03,en,,,,,23.78845091,90.25058528
Faridpur,,,,BD3029,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,2037.643633,v03,en,,,,,23.47760067,89.8359007
Gazipur,,,,BD3033,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,1814.773356,v03,en,,,,,24.09865562,90.44618398
Gopalganj,,,,BD3035,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,1485.913067,v03,en,,,,,23.1048026,89.89924094
Kishoreganj,,,,BD3048,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,2563.054031,v03,en,,,,,24.37801526,90.94330613
Madaripur,,,,BD3054,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,1153.850092,v03,en,,,,,23.2220734,90.16623392
Manikganj,,,,BD3056,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,1393.475676,v03,en,,,,,23.84080399,89.95119195
Munshiganj,,,,BD3059,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,933.5513165,v03,en,,,,,23.52584217,90.41611008
Narayanganj,,,,BD3067,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,706.3617476,v03,en,,,,,23.72381057,90.57814584
Narsingdi,,,,BD3068,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,1163.259176,v03,en,,,,,24.00321306,90.77405373
