adm3_name,adm3_name1,adm3_name2,adm3_name3,adm3_pcode,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm3_ref_name,center_lat,center_lon
Alikadam,,,,BD20030004,Bandarban,,,,BD2003,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,785.0258187,v03,en,,,,,21.59618578,92.40337107
Bandarban Sadar,,,,BD20030014,Bandarban,,,,BD2003,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,523.4868978,v03,en,,,,,22.06545533,92.23266601
Lama,,,,BD20030051,Bandarban,,,,BD2003,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,703.6223873,v03,en,,,,,21.81028832,92.21156194
Naikkhongchhari,,,,BD20030073,Bandarban,,,,BD2003,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,517.348221,v03,en,,,,,21.47139618,92.24297656
Rowangchhari,,,,BD20030089,Bandarban,,,,BD2003,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,440.712292,v03,en,,,,,22.1994028,92.35191016
Ruma,,,,BD20030091,Bandarban,,,,BD2003,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,634.4372379,v03,en,,,,,22.00777832,92.44855183
Thanchi,,,,BD20030095,Bandarban,,,,BD2003,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,986.3802383,v03,en,,,,,21.64261732,92.53326194
Akhaura,,,,BD20120002,Brahmanbaria,,,,BD2012,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,92.2161916,v03,en,,,,,23.8406693,91.1901894
Ashuganj,,,,BD20120033,Brahmanbaria,,,,BD2012,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,77.56757515,v03,en,,,,,24.01814155,91.01833745
Banchharampur,,,,BD20120004,Brahmanbaria,,,,BD2012,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,206.0602903,v03,en,,,,,23.78053412,90.80732254
Bijoynagar,,,,BD20120007,Brahmanbaria,,,,BD2012,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,225.4833675,v03,en,,,,,23.99153007,91.22736838
Brahmanbaria Sadar,,,,BD20120013,Brahmanbaria,,,,BD2012,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,216.5541688,v03,en,,,,,23.94993121,91.11594537
Kasba,,,,BD20120063,Brahmanbaria,,,,BD2012,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,209.4784328,v03,en,,,,,23.76086796,91.13132405
Nabinagar,,,,BD20120085,Brahmanbaria,,,,BD2012,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,361.3969283,v03,en,,,,,23.86327014,90.979673
Nasirnagar,,,,BD20120090,Brahmanbaria,,,,BD2012,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,315.8624809,v03,en,,,,,24.18226005,91.1871252
Sarail,,,,BD20120094,Brahmanbaria,,,,BD2012,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,223.6492122,v03,en,,,,,24.10250867,91.11323753
Chandpur Sadar,,,,BD20130022,Chandpur,,,,BD2013,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,319.5771869,v03,en,,,,,23.23175162,90.6513703
Faridganj,,,,BD20130045,Chandpur,,,,BD2013,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,235.4043174,v03,en,,,,,23.1441551,90.76190402
Haimchar,,,,BD20130047,Chandpur,,,,BD2013,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,167.7699852,v03,en,,,,,23.076609,90.61716648
Hajiganj,,,,BD20130049,Chandpur,,,,BD2013,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,191.4860523,v03,en,,,,,23.25779613,90.83747836
Kachua,,,,BD20130058,Chandpur,,,,BD2013,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,237.8036348,v03,en,,,,,23.35926547,90.88289267
Matlab Dakkhin,,,,BD20130076,Chandpur,,,,BD2013,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,130.2219362,v03,en,,,,,23.34815058,90.74730936
Matlab Uttar,,,,BD20130079,Chandpur,,,,BD2013,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,283.2325751,v03,en,,,,,23.4101348,90.64106338
Shahrasti,,,,BD20130095,Chandpur,,,,BD2013,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,154.3328945,v03,en,,,,,23.20587855,90.95691718
Anwara,,,,BD20150004,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,160.8204713,v03,en,,,,,22.19757387,91.8786927
Banshkhali,,,,BD20150008,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,362.6345737,v03,en,,,,,22.01727076,91.9380992
Boalkhali,,,,BD20150012,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,139.4056536,v03,en,,,,,22.37729487,91.96622113
Chandanaish,,,,BD20150018,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,199.8647341,v03,en,,,,,22.21239926,92.06454009
Fatikchhari,,,,BD20150033,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,758.9745286,v03,en,,,,,22.75545823,91.74886747
Hathazari,,,,BD20150037,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,228.0901617,v03,en,,,,,22.526199,91.79785039
Karnaphuli,,,,BD20150039,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,50.71790791,v03,en,,,,,22.28719585,91.8460119
Lohagara,,,,BD20150047,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,260.0764237,v03,en,,,,,21.98607426,92.11204876
Mirsarai,,,,BD20150053,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,508.418503,v03,en,,,,,22.80385025,91.54756079
Patiya,,,,BD20150061,Chattogram,,,,BD2015,Chattogram,,,,BD20,Bangladesh,,,,BD,21/05/23,,253.6155445,v03,en,,,,,22.29314167,91.98742056
